sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
 28.00  1.9943e-01  7.9993e-02  1.0416e-01    0.217180  1.7232e-01  1.3945e-01   0.1865190  0.3680760   0.1845976   0.2010588  8.5114e-03  0.02441566  7.3409e-03  8.0624e-02  3.8755e-02  1.8938e-02  9.4886e-03  3.9107e-17   0.000000   0.000000
 29.00  1.8061e-01  6.9309e-02  9.2330e-02    0.202362  1.5075e-01  1.2418e-01   0.1751446  0.3560233   0.1698866   0.1850105  7.8864e-03  0.02094917  6.4265e-03  7.5610e-02  3.5657e-02  1.6967e-02  1.2951e-03  3.9107e-17   0.000000   0.000000
 30.00  1.6374e-01  5.9853e-02  8.1737e-02    0.189041  1.3169e-01  1.1030e-01   0.2180384  0.3440500   0.1563688   0.1702593  6.9275e-03  0.01813222  6.0164e-03  7.1712e-02  3.1684e-02  1.5450e-02  1.4125e-03  0.0000e+00   0.000000   0.000000
 31.00  1.4958e-01  5.2684e-02  7.3453e-02    0.176773  1.1738e-01  9.9268e-02   0.2677954  0.3351734   0.1451735   0.1579416  6.3969e-03  0.01601486  5.7007e-03  6.6800e-02  2.8504e-02  1.4133e-02  5.7519e-03  0.0000e+00   0.000000   0.000000
 32.00  1.3684e-01  4.6249e-02  6.5789e-02    0.166023  1.0473e-01  8.9001e-02   0.2836939  0.3253399   0.1347554   0.1465313  5.7809e-03  0.01419017  5.4512e-03  6.3361e-02  2.5160e-02  1.2984e-02  1.2159e-02  1.9554e-17   0.000000   0.000000
 33.00  1.2522e-01  4.0548e-02  5.8744e-02    0.156641  9.3745e-02  7.9498e-02   0.2497736  0.3145496   0.1251147   0.1360285  5.2487e-03  0.01265817  5.2679e-03  6.1232e-02  2.1652e-02  1.2004e-02  1.5084e-02  5.8661e-17   0.000000   0.000000
 34.00  1.1481e-01  3.6010e-02  5.2708e-02    0.147326  8.4882e-02  7.1302e-02   0.1827762  0.3032612   0.1165688   0.1267026  4.8142e-03  0.01146274  4.8502e-03  5.8287e-02  1.9221e-02  1.0782e-02  1.0990e-02  1.9554e-17   0.000000   0.000000
 35.00  1.0600e-01  3.1982e-02  4.7353e-02    0.138956  7.7187e-02  6.4096e-02   0.1224480  0.2927819   0.1088459   0.1182278  4.2366e-03  0.01038135  4.5503e-03  5.5346e-02  1.7053e-02  9.8357e-03  7.0361e-03  0.0000e+00   0.000000   0.000000
 36.00  9.8358e-02  2.8466e-02  4.2678e-02    0.131310  7.0659e-02  5.7881e-02   0.0950563  0.2831116   0.1019462   0.1106041  3.9362e-03  0.00941401  4.3682e-03  5.2123e-02  1.5147e-02  9.1660e-03  3.6901e-03  0.0000e+00   0.000000   0.000000
 37.00  9.1219e-02  2.5598e-02  3.8821e-02    0.124184  6.5402e-02  5.2650e-02   0.1036656  0.2730897   0.0956357   0.1037745  3.9472e-03  0.00856021  4.3438e-03  4.9050e-02  1.3595e-02  8.5855e-03  1.6804e-03  0.0000e+00   0.000000   0.000000
 38.00  8.4959e-02  2.3042e-02  3.5284e-02    0.117088  6.0579e-02  4.7816e-02   0.1306350  0.2632454   0.0897719   0.0973606  3.8416e-03  0.00777833  4.2770e-03  4.5265e-02  1.2307e-02  7.9902e-03  1.8824e-03  9.7768e-18   0.000000   0.000000
 39.00  7.9335e-02  2.0798e-02  3.2066e-02    0.111218  5.6191e-02  4.3379e-02   0.1506314  0.2535785   0.0843548   0.0913626  3.6965e-03  0.00706839  4.1678e-03  4.2660e-02  1.1282e-02  7.3802e-03  4.1338e-03  2.9330e-17   0.000000   0.000000
 40.00  7.4416e-02  1.8986e-02  2.9381e-02    0.105634  5.2816e-02  3.9687e-02   0.1450574  0.2447104   0.0797278   0.0862691  3.4713e-03  0.00647803  3.9957e-03  3.9759e-02  1.0163e-02  6.8474e-03  4.5184e-03  9.7768e-18   0.000000   0.000000
 41.00  6.9776e-02  1.7310e-02  2.6866e-02    0.100424  4.9561e-02  3.6242e-02   0.1161138  0.2357472   0.0752724   0.0814020  3.3127e-03  0.00593739  3.8440e-03  3.7150e-02  9.1511e-03  6.3720e-03  3.5635e-03  0.0000e+00   0.000000   0.000000
 42.00  6.5307e-02  1.5769e-02  2.4522e-02    0.095607  4.6425e-02  3.3043e-02   0.0801673  0.2266891   0.0709886   0.0767611  2.9450e-03  0.00544647  3.7129e-03  3.5163e-02  8.2457e-03  5.9541e-03  1.8214e-03  0.0000e+00   0.000000   0.000000
